"fact","region","phi","crop","median","mean","min","max"
"IPM","South America",4,"W",0.1424709,0.295684891482712,-0.765845,61.935018
"IPM","South-Eastern Asia",2,"M",0.223071675,0.264654778440397,-0.64220211,1.9130144
"IPM","South-Eastern Asia",2,"R",0.26089668,0.279436992322476,0.097968466,0.40724713
"IPM","South-Eastern Asia",2,"W",0.33716098,0.351619067126437,0.23946171,0.57798403
"IPM","South-Eastern Asia",3,"M",0.11477998,4.88465653387685,-0.98541795,1433.0897
"IPM","South-Eastern Asia",3,"R",0.12505776,0.133954409582085,-0.052389641,0.24057282
"IPM","South-Eastern Asia",3,"W",0.17141417,0.175033638390805,0.11112616,0.32916793
"IPM","South-Eastern Asia",4,"M",0.097402288,12.4206329422586,-0.98541795,1489.3241
"IPM","South-Eastern Asia",4,"R",0.1163794,0.122643805707166,-0.27895834,0.33569598
"IPM","South-Eastern Asia",4,"W",0.17480456,0.181142243448276,0.10748228,0.49572217
"IPM","Southern Africa",2,"M",0.38627137,4.30689692961538,0.25657675,508.08147
"IPM","Southern Africa",2,"R",0.393520165,0.396242288285714,0.26291628,0.55711586
"IPM","Southern Africa",2,"W",0.45303504,0.439926644065934,0.27586018,0.53717867
"IPM","Southern Africa",3,"M",0.18011936,6.96697976815385,0.11419037,709.28782
"IPM","Southern Africa",3,"R",0.16935943,0.176274383357143,0.098546445,0.26510189
"IPM","Southern Africa",3,"W",0.20100988,0.19899863032967,0.1273482,0.24988711
"IPM","Southern Africa",4,"M",0.1667457,15.100552569,0.07144362,1070.7831
"IPM","Southern Africa",4,"R",0.15163371,0.162571559942857,0.042485001,0.26777813
"IPM","Southern Africa",4,"W",0.20438275,0.204252462637363,0.13002947,0.26715131
"IPM","Southern Asia",2,"M",0.414290625,0.451755044057971,0.17928084,11.030233
"IPM","Southern Asia",2,"R",0.42625696,0.456056330236842,0.22533317,1.0270184
"IPM","Southern Asia",2,"W",0.46665025,0.503508507082228,0.28627938,1.3277747
"IPM","Southern Asia",3,"M",0.21472751,0.288847880437198,-0.74004216,22.527231
"IPM","Southern Asia",3,"R",0.226056995,0.247757550921053,-0.72818056,0.81301093
"IPM","Southern Asia",3,"W",0.21224958,0.793680036127321,0.14002869,210.55282
"IPM","Southern Asia",4,"M",0.23159856,12.8686003562754,-0.99999133,810.22781
"IPM","Southern Asia",4,"R",0.24331423,10.0349923462895,-0.97256716,734.5232
"IPM","Southern Asia",4,"W",0.22490901,5.71940643912467,0.14106229,662.52244
"IPM","Southern Europe",2,"M",0.54214566,0.537166379705882,0.30131188,0.68405069
"IPM","Southern Europe",2,"R",0.58323131,0.556895598823529,0.36293118,0.74968859
"IPM","Southern Europe",2,"W",0.52393394,0.522381678431373,0.28947219,0.66050008
"IPM","Southern Europe",3,"M",0.2522518,0.25277918245098,0.13838726,0.32769066
"IPM","Southern Europe",3,"R",0.26055502,0.242157197254902,0.11107784,0.31845814
"IPM","Southern Europe",3,"W",0.278462955,0.287071406372549,0.15374854,0.41921331
"IPM","Southern Europe",4,"M",0.240443945,0.246504754313725,0.12898969,0.35537659
"IPM","Southern Europe",4,"R",0.26135038,0.16727358145098,-0.93315705,0.34489041
"IPM","Southern Europe",4,"W",0.352943935,0.377807369411765,0.16940333,1.1470187
"IPM","Western Africa",2,"M",0.40812731,0.394242331794872,0.2091741,0.47770362
"IPM","Western Africa",2,"R",0.41288303,0.422255596140351,0.26966851,0.56208079
"IPM","Western Africa",2,"W",0.41215974,0.414492372207792,0.33410834,0.49470946
"IPM","Western Africa",3,"M",0.21895459,0.208783650671795,0.070276934,0.27151184
"IPM","Western Africa",3,"R",0.19667277,0.202136224269006,0.11468058,0.29046168
"IPM","Western Africa",3,"W",0.19080931,0.193941213636364,0.15217368,0.23553643
"IPM","Western Africa",4,"M",0.23292057,0.220367661331282,0.0093665926,0.32132655
"IPM","Western Africa",4,"R",0.20152354,0.207581097795322,0.08949108,0.36187121
"IPM","Western Africa",4,"W",0.1933524,0.196501852987013,0.15013212,0.24425928
"IPM","Western Asia",2,"M",0.55190226,0.558139004210526,0.4068882,0.74080893
"IPM","Western Asia",2,"R",0.584440135,0.590427802954545,0.44519446,0.77842223
"IPM","Western Asia",2,"W",0.652082845,0.6555460471,0.41734113,0.94757214
"IPM","Western Asia",3,"M",0.2451656,0.254572318905263,0.066942021,0.43590858
"IPM","Western Asia",3,"R",0.26009802,0.270674764772727,0.18985132,0.44435761
"IPM","Western Asia",3,"W",0.337639895,0.3722298582,0.20195287,0.92078658
"IPM","Western Asia",4,"M",0.22414794,0.189906106726316,-0.9999971,0.85825634
"IPM","Western Asia",4,"R",0.256895985,0.269125589840909,0.082532423,0.68262911
